reactant_a,reactant_b,combination_type,primary_product_formula,primary_product_name,balanced_equation,state_at_stp,conditions,facts,common_misconception,confidence
H,Ar,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Argon is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
H,K,ionic_compound,KH,Potassium hydride,2 K(s) + H2(g) -> 2 KH(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Ca,ionic_compound,CaH2,Calcium hydride,Ca(s) + H2(g) -> CaH2(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Sc,ionic_compound,ScH3,Scandium hydride,2 Sc(s) + 3 H2(g) -> 2 ScH3(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Ti,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,V,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Cr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Mn,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Fe,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Co,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Ni,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Cu,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Zn,ionic_compound,ZnH2,Zinc hydride,Zn(s) + H2(g) -> ZnH2(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Ga,ionic_compound,GaH3,Gallium hydride,2 Ga(s) + 3 H2(g) -> 2 GaH3(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Ge,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,As,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Se,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Br,covalent_compound,HBr,Hydrogen bromide,H2(g) + Br2(l) -> 2 HBr(g),gas,Heat/ignition; forms acid in water,Dissolves to give hydrobromic acid (strong acid when aqueous),HBr is molecular; balance using coefficients,high
H,Kr,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
H,Rb,ionic_compound,RbH,Rubidium hydride,2 Rb(s) + H2(g) -> 2 RbH(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Sr,ionic_compound,SrH2,Strontium hydride,Sr(s) + H2(g) -> SrH2(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Y,ionic_compound,YH3,Yttrium hydride,2 Y(s) + 3 H2(g) -> 2 YH3(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Zr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Nb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Mo,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Tc,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Ru,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Rh,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Pd,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Ag,ionic_compound,AgH,Silver hydride,2 Ag(s) + H2(g) -> 2 AgH(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Cd,ionic_compound,CdH2,Cadmium hydride,Cd(s) + H2(g) -> CdH2(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,In,ionic_compound,InH3,Indium hydride,2 In(s) + 3 H2(g) -> 2 InH3(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Sn,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Sb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Te,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,I,covalent_compound,HI,Hydrogen iodide,H2(g) + I2(s) -> 2 HI(g),gas,Heat; forms acid in water,Dissolves to give hydroiodic acid (strong acid when aqueous),HI is not H2I2; coefficients belong in the equation,high
H,Xe,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Xenon is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
H,Cs,ionic_compound,CsH,Caesium hydride,2 Cs(s) + H2(g) -> 2 CsH(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Ba,ionic_compound,BaH2,Barium hydride,Ba(s) + H2(g) -> BaH2(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,La,ionic_compound,LaH3,Lanthanum hydride,2 La(s) + 3 H2(g) -> 2 LaH3(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Ce,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Pr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Nd,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Pm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Sm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Eu,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Gd,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Tb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Dy,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Ho,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Er,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Tm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Yb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Lu,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Hf,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Ta,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,W,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Re,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Os,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Ir,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Pt,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Au,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Hg,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Tl,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Pb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Bi,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Po,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,At,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Rn,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Radon is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
H,Fr,ionic_compound,FrH,Francium hydride,2 Fr(s) + H2(g) -> 2 FrH(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Ra,ionic_compound,RaH2,Radium hydride,Ra(s) + H2(g) -> RaH2(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
H,Ac,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Th,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Pa,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,U,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Np,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Pu,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Am,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Cm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Bk,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Cf,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Es,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Fm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Md,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,No,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Lr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Rf,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Db,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Sg,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Bh,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Hs,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Mt,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Ds,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Rg,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Cn,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Nh,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Fl,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Mc,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Lv,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Ts,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
H,Og,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Oganesson is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Li,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Be,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,B,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,C,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,N,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,O,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,F,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Ne,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Na,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Mg,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Al,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Si,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,P,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,S,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Cl,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Ar,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,K,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Ca,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Sc,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Ti,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,V,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Cr,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Mn,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Fe,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
He,Co,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Helium is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
